Precinct,Total.Votes,White.Pct,Black.Pct,NA.Pct,A.PI.Pct,Other.R.Pct,MR.Pct,Dem.Pct,Rep.Pct,Other.Pct
01-01,2654,0.781461944,0.146194424,0.005651846,0.025998493,0.018462698,0.022230595,0.739072848,0.225165563,0.035761589
01-02,3351,0.905102954,0.053118472,0.00179051,0.01850194,0.006565204,0.014920919,0.61679225,0.364908504,0.018299247
01-03,2405,0.962162162,0.014968815,0.002079002,0.007484407,0.002910603,0.01039501,0.426177175,0.553072626,0.0207502
01-04,1457,0.962937543,0.011667811,0.000686342,0.004118051,0.008236102,0.012354152,0.445214979,0.54368932,0.0110957
01-05,1410,0.936879433,0.053900709,0.00070922,0.004964539,0,0.003546099,0.41294964,0.576978417,0.010071942
01-06,2949,0.931841302,0.030179722,0.002373686,0.017293998,0.004747372,0.01356392,0.628349179,0.343128781,0.02852204
01-07,2075,0.799518072,0.146506024,0.002891566,0.025542169,0.009156627,0.016385542,0.739864865,0.238738739,0.021396396
01-09,1414,0.949787836,0.013437058,0.002828854,0.012022631,0.006364922,0.015558699,0.647709321,0.327014218,0.025276461
01-10,1787,0.97313934,0.011751539,0.001678791,0.005036374,0,0.008393956,0.498927039,0.484978541,0.016094421
01-11,2535,0.97790927,0.00591716,0,0.007495069,0.000394477,0.008284024,0.276209677,0.713709677,0.010080645
01-12,2237,0.784532857,0.145283862,0.002682164,0.007599464,0.046490836,0.013410818,0.547745358,0.429708223,0.022546419
01-13,2048,0.659667969,0.28125,0.004394531,0.010253906,0.028320313,0.016113281,0.739463602,0.240102171,0.020434227
01-14,4104,0.732212476,0.213206628,0.003654971,0.01291423,0.016569201,0.021442495,0.764742015,0.217444717,0.017813268
01-15,1752,0.885273973,0.068493151,0.001141553,0.020547945,0.010844749,0.01369863,0.448464912,0.538377193,0.013157895
01-16,4052,0.673000987,0.159427443,0.008144126,0.042694965,0.088598223,0.028134255,0.561653599,0.410548824,0.027797577
01-17,1380,0.954347826,0.014492754,0.003623188,0.015942029,0.001449275,0.010144928,0.422647528,0.561403509,0.015948963
01-18,5360,0.586380597,0.205783582,0.006343284,0.028358209,0.142723881,0.030410448,0.5,0.476825843,0.023174157
01-19,3123,0.110790906,0.731988473,0.002241435,0.005443484,0.132244637,0.017291066,0.955497382,0.037958115,0.006544503
01-20,3583,0.192296958,0.760535864,0.00390734,0.004744627,0.020373988,0.018141222,0.925601751,0.067833698,0.006564551
01-21,6959,0.442304929,0.338698089,0.009484121,0.018968243,0.161517459,0.029027159,0.645750596,0.321683876,0.032565528
01-22,5495,0.084076433,0.777252047,0.004731574,0.009099181,0.102092812,0.022747953,0.967213115,0.031525851,0.001261034
01-23,12284,0.715727776,0.164848584,0.002279388,0.081081081,0.012129599,0.023933572,0.663904236,0.286372007,0.049723757
01-25,1528,0.087696335,0.847513089,0.001308901,0.00065445,0.021596859,0.041230366,0.927927928,0.063063063,0.009009009
01-26,5698,0.226570727,0.697788698,0.007722008,0.002983503,0.04984205,0.015093015,0.929943503,0.062146893,0.007909605
01-27,2948,0.56275441,0.283921303,0.012890095,0.009158752,0.108208955,0.023066486,0.787878788,0.19047619,0.021645022
01-28,5550,0.283423423,0.634954955,0.003243243,0.007027027,0.044324324,0.027027027,0.819861432,0.166859122,0.013279446
01-29,2813,0.964450764,0.017063633,0.000710985,0.007109847,0.004976893,0.005687878,0.410138249,0.576036866,0.013824885
01-30,1563,0.938579655,0.040307102,0,0.01087652,0.001279591,0.008957134,0.45410628,0.525362319,0.020531401
01-31,7924,0.468828874,0.258076729,0.005931348,0.151817264,0.079379101,0.035966683,0.728706625,0.225026288,0.046267087
01-32,4462,0.620797848,0.21201255,0.007844016,0.037203048,0.086284177,0.035858359,0.606981982,0.356981982,0.036036036
01-33,2177,0.756545705,0.065227377,0.001378043,0.160312356,0.003674782,0.012861736,0.538709677,0.450537634,0.010752688
01-34,3092,0.080530401,0.877102199,0.003880983,0.001617076,0.01228978,0.02457956,0.950871632,0.039619651,0.009508716
01-35,4820,0.101244813,0.666804979,0.0093361,0.000829876,0.193568465,0.028215768,0.97029703,0.028712871,0.000990099
01-36,2452,0.849918434,0.097879282,0.00040783,0.015089723,0.019168026,0.017536705,0.400690846,0.581174439,0.018134715
01-37,2389,0.878191712,0.079112599,0.002092926,0.026370866,0.007115948,0.007115948,0.47941681,0.498284734,0.022298456
01-38,3552,0.528997748,0.275900901,0.006193694,0.04954955,0.11402027,0.025337838,0.584653878,0.392827356,0.022518766
01-39,3830,0.621932115,0.290078329,0.003133159,0.012010444,0.033681462,0.039164491,0.584158416,0.388613861,0.027227723
01-40,8495,0.135609182,0.701706886,0.00988817,0.01400824,0.114537964,0.024249559,0.94489093,0.049942595,0.005166475
01-41,4225,0.66295858,0.102721893,0.006627219,0.164970414,0.040236686,0.022485207,0.625,0.340686275,0.034313725
01-43,4059,0.577235772,0.263858093,0.007144617,0.017245627,0.096082779,0.038433112,0.578998073,0.400770713,0.020231214
01-44,5822,0.534352456,0.297148746,0.004809344,0.019237375,0.116283064,0.028169014,0.543252595,0.435409458,0.021337947
01-45,3467,0.586674358,0.192962215,0.002595904,0.082203634,0.102970868,0.03259302,0.47357513,0.49015544,0.03626943
01-46,7408,0.239740821,0.475566955,0.010934125,0.034422246,0.198299136,0.041036717,0.800598205,0.180458624,0.01894317
01-48,3396,0.729093051,0.149882214,0.005300353,0.041224971,0.042697291,0.03180212,0.666362808,0.301731996,0.031905196
01-49,4671,0.514879041,0.297366731,0.007707129,0.057161207,0.088417898,0.034467994,0.636934673,0.314070352,0.048994975
01-50,3360,0.078869048,0.841964286,0.006547619,0.016666667,0.041666667,0.014285714,0.949880668,0.042163882,0.007955449
01-51,1459,0.815627142,0.128169979,0,0.01439342,0.020562029,0.02124743,0.451202263,0.517680339,0.031117397
04-01,3013,0.738466645,0.138400266,0.008629273,0.023896449,0.063391968,0.0272154,0.521539872,0.453712191,0.024747938
04-02,5103,0.652753282,0.07877719,0.017440721,0.043895748,0.181853811,0.025279248,0.483965015,0.483965015,0.032069971
04-03,3490,0.641833811,0.186246418,0.009455587,0.050429799,0.068767908,0.043266476,0.51048951,0.46969697,0.01981352
04-04,3397,0.546658817,0.200176626,0.00559317,0.034442155,0.167795113,0.045334118,0.46728972,0.504672897,0.028037383
04-05,3842,0.746225924,0.0661114,0.005465903,0.146017699,0.009890682,0.026288391,0.495851946,0.470325463,0.033822591
04-06,3681,0.860907362,0.065199674,0.001901657,0.037489813,0.016028253,0.018473241,0.441157961,0.532410321,0.026431718
04-08,3361,0.677774472,0.141326986,0.002380244,0.11365665,0.027670336,0.037191312,0.537678208,0.421588595,0.040733198
04-09,3821,0.769693797,0.060193667,0.003140539,0.136613452,0.009683329,0.020675216,0.352335709,0.624703088,0.022961203
04-10,3851,0.818488704,0.05167489,0.002596728,0.094001558,0.010906258,0.022331862,0.436927414,0.532064834,0.031007752
04-11,2661,0.635475385,0.147688839,0.020293123,0.08154829,0.078166103,0.03682826,0.55862069,0.413793103,0.027586207
